text,condition,record_type,Care_Profile
Staging for suspected osteosarcoma: Thoracic radiographs (3 views) show no evidence of pulmonary metastasis.,Mobility Problems,Clinical Notes,staging for suspected osteosarcoma thoracic radiographs views show no evidence of pulmonary metastasis mobility problems clinical notes
Serum allergy testing (IgE) performed; results pending.,Skin Irritations,Clinical Notes,serum allergy testing ige performed results pending skin irritations clinical notes
"Monitor for development of secondary infections (bacterial, yeast).",Skin Irritations,Clinical Notes,monitor for development of secondary infections bacterial yeast skin irritations clinical notes
"Superficial skin scraping positive for Sarcoptes scabiei var. canis mites and eggs. Highly contagious, zoonotic potential.",Parasites,Clinical Notes,superficial skin scraping positive for sarcoptes scabiei var canis mites and eggs highly contagious zoonotic potential parasites clinical notes
My cat vomited pinkish foam.,Digestive Issues,Owner Observation,my cat vomited pinkish foam digestive issues owner observation
My guinea pig is scratching so much it has open sores.,Parasites,Owner Observation,my guinea pig is scratching so much it has open sores parasites owner observation
Canine facial eosinophilic furunculosis suspected based on acute onset muzzle swelling/lesions.,Skin Irritations,Clinical Notes,canine facial eosinophilic furunculosis suspected based on acute onset muzzle swellinglesions skin irritations clinical notes
My dog gets diarrhea whenever we have visitors or travel.,Digestive Issues,Owner Observation,my dog gets diarrhea whenever we have visitors or travel digestive issues owner observation
My dog's ear infection seemed better but came right back after stopping meds.,Ear Infections,Owner Observation,my dogs ear infection seemed better but came right back after stopping meds ear infections owner observation
Facial nerve paralysis present; assess prognosis for recovery.,Ear Infections,Clinical Notes,facial nerve paralysis present assess prognosis for recovery ear infections clinical notes
Facial fold pyoderma; advise owner on daily cleaning and hygiene.,Skin Irritations,Clinical Notes,facial fold pyoderma advise owner on daily cleaning and hygiene skin irritations clinical notes
"Check for electrolyte abnormalities (hypokalemia, hyponatremia).",Digestive Issues,Clinical Notes,check for electrolyte abnormalities hypokalemia hyponatremia digestive issues clinical notes
Cat suddenly refuses to eat her usual food.,Digestive Issues,Owner Observation,cat suddenly refuses to eat her usual food digestive issues owner observation
My dog has hives that appear and disappear quickly.,Skin Irritations,Owner Observation,my dog has hives that appear and disappear quickly skin irritations owner observation
"Guinea pig seems weak and is losing weight, maybe internal parasites?",Parasites,Owner Observation,guinea pig seems weak and is losing weight maybe internal parasites parasites owner observation
"Ferret is lethargic and not eating, vomited once.",Digestive Issues,Owner Observation,ferret is lethargic and not eating vomited once digestive issues owner observation
My dog stumbles frequently.,Mobility Problems,Owner Observation,my dog stumbles frequently mobility problems owner observation
My dog's ear problems always seem worse during allergy season.,Ear Infections,Owner Observation,my dogs ear problems always seem worse during allergy season ear infections owner observation
Myelogram reveals extradural spinal cord compression at T13-L1.,Mobility Problems,Clinical Notes,myelogram reveals extradural spinal cord compression at tl mobility problems clinical notes
Provide clear written estimate outlining costs for proposed diagnostic and treatment plan.,Digestive Issues,Clinical Notes,provide clear written estimate outlining costs for proposed diagnostic and treatment plan digestive issues clinical notes
"My kitten is covered in fleas, they are crawling all over.",Parasites,Owner Observation,my kitten is covered in fleas they are crawling all over parasites owner observation
Roundworm infection; start pyrantel therapy.,Parasites,Clinical Notes,roundworm infection start pyrantel therapy parasites clinical notes
My dog keeps gulping and seems uncomfortable after eating.,Digestive Issues,Owner Observation,my dog keeps gulping and seems uncomfortable after eating digestive issues owner observation
My cat has symmetrical hair loss on both flanks.,Skin Irritations,Owner Observation,my cat has symmetrical hair loss on both flanks skin irritations owner observation
Rabbit has spondylosis.,Mobility Problems,Owner Observation,rabbit has spondylosis mobility problems owner observation
Giardia ELISA test positive. Initiate fenbendazole therapy and advise environmental decontamination.,Digestive Issues,Clinical Notes,giardia elisa test positive initiate fenbendazole therapy and advise environmental decontamination digestive issues clinical notes
Chronic arthritis; start laser therapy.,Mobility Problems,Clinical Notes,chronic arthritis start laser therapy mobility problems clinical notes
Cat has crusty ear tips.,Ear Infections,Owner Observation,cat has crusty ear tips ear infections owner observation
The skin inside my dog's ear canals looks bright red and sore.,Ear Infections,Owner Observation,the skin inside my dogs ear canals looks bright red and sore ear infections owner observation
Fecal flotation negative for ova and parasites.,Digestive Issues,Clinical Notes,fecal flotation negative for ova and parasites digestive issues clinical notes
My dog sometimes trips over his own feet.,Mobility Problems,Owner Observation,my dog sometimes trips over his own feet mobility problems owner observation
"Use selamectin (Revolution) for fleas, heartworm, ear mites, sarcoptic mange, some ticks, roundworms, hookworms (depending on species).",Parasites,Clinical Notes,use selamectin revolution for fleas heartworm ear mites sarcoptic mange some ticks roundworms hookworms depending on species parasites clinical notes
My rabbit has bald patches on its nose from rubbing the cage.,Skin Irritations,Owner Observation,my rabbit has bald patches on its nose from rubbing the cage skin irritations owner observation
Yeast otitis confirmed; prescribe miconazole drops.,Ear Infections,Clinical Notes,yeast otitis confirmed prescribe miconazole drops ear infections clinical notes
Hamster's skin looks red and irritated inside its cheek pouches.,Skin Irritations,Owner Observation,hamsters skin looks red and irritated inside its cheek pouches skin irritations owner observation
"My dog's paw pads feel rough and crusty, almost like horns.",Skin Irritations,Owner Observation,my dogs paw pads feel rough and crusty almost like horns skin irritations owner observation
My cat has bald patches above her eyes.,Skin Irritations,Owner Observation,my cat has bald patches above her eyes skin irritations owner observation
"Differentiate Taenia vs. Dipylidium proglottids if possible (Dipylidium motile, Taenia rectangular).",Parasites,Clinical Notes,differentiate taenia vs dipylidium proglottids if possible dipylidium motile taenia rectangular parasites clinical notes
"Discuss use of supportive harnesses (e.g., Help'EmUp) or custom carts/wheelchairs for non-ambulatory patients.",Mobility Problems,Clinical Notes,discuss use of supportive harnesses eg helpemup or custom cartswheelchairs for nonambulatory patients mobility problems clinical notes
"Vestibular signs (nystagmus, ataxia, head tilt) present; rule out otitis interna vs. central causes.",Ear Infections,Clinical Notes,vestibular signs nystagmus ataxia head tilt present rule out otitis interna vs central causes ear infections clinical notes
Chemotherapy protocol discussed for osteosarcoma.,Mobility Problems,Clinical Notes,chemotherapy protocol discussed for osteosarcoma mobility problems clinical notes
Serum folate levels checked to assess proximal small intestinal function.,Digestive Issues,Clinical Notes,serum folate levels checked to assess proximal small intestinal function digestive issues clinical notes
